host,cpu,march,sha,tier,graph,nodes,edges,iters,trials,avg_time_s,min_trial_s,cycles_per_edge_iter,ipc,mlp,mlp_cond,pct_cyc_miss,pct_ge16,pct_ge32,pct_ge64
zen5,8,znver5,f2ae9737a0268784,quick,kron,16777212,260376710,5,16,3.92791,3.90218,16.987,0.679,16.32,16.40,99.5,44.9,5.5,0.0
zen5,8,znver5,f2ae9737a0268784,quick,urand,16777216,268435177,4,16,4.11139,4.09759,20.888,0.553,33.78,33.84,99.8,91.4,63.0,0.0
