host,cpu,march,sha,tier,graph,nodes,edges,iters,trials,avg_time_s,min_trial_s,cycles_per_edge_iter,ipc,mlp,mlp_cond,pct_cyc_miss,pct_ge16,pct_ge32,pct_ge64
zen4,8,znver4,f2ae9737a0268784,standard,kron,134217728,2111632379,5,8,81.30028,81.02199,39.322,0.294,15.85,15.90,99.7,67.0,0.0,0.0
zen4,8,znver4,f2ae9737a0268784,standard,urand,134217728,2147483394,4,8,104.06795,104.06373,61.585,0.190,17.66,17.71,99.8,80.6,0.0,0.0
