kernel,host,march,tier,graph,dist,hint,flat,trials,iters,avg_time_s,min_trial_s,ns_per_edge_iter,speedup_vs_d0(0=no D0 in run)
cc_sv,zen5,znver5,standard,kron,0,3,1,3,1,58.29049,58.21392,27.604,1.0000
cc_sv,zen5,znver5,standard,urand,0,3,1,3,1,83.79736,83.76957,39.021,1.0000
cc_sv,zen5,znver5,standard,kron,32,3,1,3,1,35.77386,35.67454,16.941,1.6294
cc_sv,zen5,znver5,standard,urand,32,3,1,3,1,49.20984,49.18834,22.915,1.7029
cc_sv,zen5,znver5,standard,kron,128,3,1,3,1,20.31690,20.11336,9.621,2.8691
cc_sv,zen5,znver5,standard,urand,128,3,1,3,1,39.00606,38.96765,18.164,2.1483
