kernel,host,march,tier,graph,dist,hint,flat,trials,iters,avg_time_s,min_trial_s,ns_per_edge_iter,speedup_vs_d0(0=no D0 in run)
cc_sv,zen5,znver5,standard,urand,0,3,0,3,1,83.43571,82.96343,38.853,1.0000
cc_sv,zen5,znver5,standard,urand,128,3,0,3,1,76.96932,76.61038,35.842,1.0840
