host,cpu,march,sha,tier,graph,nodes,edges,iters,trials,avg_time_s,min_trial_s,cycles_per_edge_iter,ipc,mlp,mlp_cond,pct_cyc_miss,pct_ge16,pct_ge32,pct_ge64
zen5,8,znver5,f2ae9737a0268784,standard,kron,134217728,2111632379,5,8,41.50671,41.05690,21.088,0.545,35.66,35.72,99.9,88.8,63.3,0.0
zen5,8,znver5,f2ae9737a0268784,standard,urand,134217728,2147483394,4,8,40.19956,39.90219,25.332,0.456,49.92,49.96,99.9,99.0,93.3,0.0
