host,cpu,march,sha,tier,graph,nodes,edges,iters,trials,avg_time_s,min_trial_s,cycles_per_edge_iter,ipc,mlp,mlp_cond,pct_cyc_miss,pct_ge16,pct_ge32,pct_ge64
zen5,8,znver5,f2ae9737a0268784,quick,kron,16777212,260376710,5,2,4.02410,3.88721,16.021,0.719,16.66,16.73,99.6,49.1,7.1,0.0
zen5,8,znver5,f2ae9737a0268784,quick,urand,16777216,268435177,4,2,4.08599,4.08403,20.715,0.558,33.96,34.03,99.8,91.4,62.9,0.0
