host,cpu,march,sha,tier,graph,nodes,edges,iters,trials,avg_time_s,min_trial_s,cycles_per_edge_iter,ipc,mlp,mlp_cond,pct_cyc_miss,pct_ge16,pct_ge32,pct_ge64
zen5,8,znver5,f2ae9737a0268784,quick,kron,16777212,260376710,5,16,4.03459,3.90185,16.866,0.683,15.66,15.73,99.5,46.3,6.1,0.0
zen5,8,znver5,f2ae9737a0268784,quick,urand,16777216,268435177,4,16,4.10059,4.09396,21.030,0.549,33.46,33.52,99.8,90.9,60.8,0.0
