host,march,tier,graph,dist,hint,trials,iters,avg_time_s,min_trial_s,ns_per_edge_iter,speedup_vs_d0(0=no D0 in run)
zen5,znver5,standard,kron,96,1,4,5,34.46464,34.43386,3.264,0.0000
zen5,znver5,standard,urand,96,1,4,4,41.01317,41.01042,4.775,0.0000
